home-activity,27.31%
home-channel,12.61%
home-search,6.66%
home-rock,6.50%
home-category,3.53%
home-profile,9.17%
home-other,7.77%
home-close,22.81%
activity-detail,10.01%
activity-login,2.39%
activity-other,7.55%
activity-home,69.21%
activity-close,10.85%
channel-detail,52.01%
channel-search,0.04%
channel-setting,0.04%
channel-category,0.03%
channel-activity,0.03%
channel-cart,0.02%
channel-other,0.03%
channel-home,35.23%
channel-close,7.40%
profile-setting,9.98%
profile-coupon,9.31%
profile-category,2.69%
profile-cart,8.13%
profile-collection,4.31%
profile-order,18.47%
profile-other,6.83%
profile-home,31.96%
profile-close,6.11%
search-list,51.19%
search-other,12.36%
search-home,32.62%
search-close,2.85%
category-list,50.13%
category-other,25.13%
category-home,18.99%
category-close,4.25%
list-detail,50.87%
list-category,15.62%
list-search,19.73%
list-other,7.30%
list-home,0.16%
list-close,4.26%
detail-list,35.19%
detail-channel,27.58%
detail-activity,5.86%
detail-detailbanner,5.08%
detail-collection,4.90%
detail-cart,4.52%
detail-confirm,4.49%
detail-other,7.30%
detail-close,5.07%
cart-detail,19.66%
cart-order,20.03%
cart-profile,14.05%
cart-category,10.91%
cart-other,4.28%
cart-home,24.58%
cart-close,4.75%
order-detail,26.76%
order-location,14.91%
order-coupon,10.71%
order-bill,8.70%
order-cart,22.24%
order-other,7.73%
order-close,6.64%
